# x   y   V_numerica   V_analitica   |error|
   1.000000E+00   0.000000E+00   1.000000E+00   1.000000E+00   0.000000E+00
   1.020000E+00   0.000000E+00   1.040400E+00   1.040400E+00   0.000000E+00
   1.040000E+00   0.000000E+00   1.081600E+00   1.081600E+00   0.000000E+00
   1.060000E+00   0.000000E+00   1.123600E+00   1.123600E+00   0.000000E+00
   1.080000E+00   0.000000E+00   1.166400E+00   1.166400E+00   0.000000E+00
   1.100000E+00   0.000000E+00   1.210000E+00   1.210000E+00   0.000000E+00
   1.120000E+00   0.000000E+00   1.254400E+00   1.254400E+00   0.000000E+00
   1.140000E+00   0.000000E+00   1.299600E+00   1.299600E+00   0.000000E+00
   1.160000E+00   0.000000E+00   1.345600E+00   1.345600E+00   0.000000E+00
   1.180000E+00   0.000000E+00   1.392400E+00   1.392400E+00   0.000000E+00
   1.200000E+00   0.000000E+00   1.440000E+00   1.440000E+00   0.000000E+00
   1.220000E+00   0.000000E+00   1.488400E+00   1.488400E+00   0.000000E+00
   1.240000E+00   0.000000E+00   1.537600E+00   1.537600E+00   0.000000E+00
   1.260000E+00   0.000000E+00   1.587600E+00   1.587600E+00   0.000000E+00
   1.280000E+00   0.000000E+00   1.638400E+00   1.638400E+00   0.000000E+00
   1.300000E+00   0.000000E+00   1.690000E+00   1.690000E+00   0.000000E+00
   1.320000E+00   0.000000E+00   1.742400E+00   1.742400E+00   0.000000E+00
   1.340000E+00   0.000000E+00   1.795600E+00   1.795600E+00   0.000000E+00
   1.360000E+00   0.000000E+00   1.849600E+00   1.849600E+00   0.000000E+00
   1.380000E+00   0.000000E+00   1.904400E+00   1.904400E+00   0.000000E+00
   1.400000E+00   0.000000E+00   1.960000E+00   1.960000E+00   0.000000E+00
   1.420000E+00   0.000000E+00   2.016400E+00   2.016400E+00   0.000000E+00
   1.440000E+00   0.000000E+00   2.073600E+00   2.073600E+00   0.000000E+00
   1.460000E+00   0.000000E+00   2.131600E+00   2.131600E+00   0.000000E+00
   1.480000E+00   0.000000E+00   2.190400E+00   2.190400E+00   0.000000E+00
   1.500000E+00   0.000000E+00   2.250000E+00   2.250000E+00   0.000000E+00
   1.520000E+00   0.000000E+00   2.310400E+00   2.310400E+00   0.000000E+00
   1.540000E+00   0.000000E+00   2.371600E+00   2.371600E+00   0.000000E+00
   1.560000E+00   0.000000E+00   2.433600E+00   2.433600E+00   0.000000E+00
   1.580000E+00   0.000000E+00   2.496400E+00   2.496400E+00   0.000000E+00
   1.600000E+00   0.000000E+00   2.560000E+00   2.560000E+00   0.000000E+00
   1.620000E+00   0.000000E+00   2.624400E+00   2.624400E+00   0.000000E+00
   1.640000E+00   0.000000E+00   2.689600E+00   2.689600E+00   0.000000E+00
   1.660000E+00   0.000000E+00   2.755600E+00   2.755600E+00   0.000000E+00
   1.680000E+00   0.000000E+00   2.822400E+00   2.822400E+00   0.000000E+00
   1.700000E+00   0.000000E+00   2.890000E+00   2.890000E+00   0.000000E+00
   1.720000E+00   0.000000E+00   2.958400E+00   2.958400E+00   0.000000E+00
   1.740000E+00   0.000000E+00   3.027600E+00   3.027600E+00   0.000000E+00
   1.760000E+00   0.000000E+00   3.097600E+00   3.097600E+00   0.000000E+00
   1.780000E+00   0.000000E+00   3.168400E+00   3.168400E+00   0.000000E+00
